"Gene","mean","sd"
"ENSG00000242125",5095,10252
"ENSG00000180198",3735,8417
"ENSG00000180098",2686,1362
"ENSG00000197989",1175,9003
"ENSG00000120656",2760,718
"ENSG00000162419",1272,57
"ENSG00000198492",9476,1551
"ENSG00000159023",8339,4905
"ENSG00000253304",1443,5735
"ENSG00000116350",10683,1610
"ENSG00000116353",3920,1140
"ENSG00000060656",863,11220
"ENSG00000162511",9077,11763
"ENSG00000162512",12166,10171
"ENSG00000134644",10678,3597
"ENSG00000060688",4792,349
"ENSG00000121766",5395,4821
"ENSG00000121769",5608,12050
"ENSG00000168528",6785,11190
"ENSG00000142910",9773,11595
"ENSG00000162517",9450,1134
"ENSG00000084636",7634,11378
"ENSG00000184007",11085,6486
"ENSG00000121774",10315,1391
"ENSG00000121775",2094,2562
"ENSG00000250135",579,26
"ENSG00000025800",10292,922
"ENSG00000084652",11172,1785
"ENSG00000160055",3324,8291
"ENSG00000084623",11468,5767
"ENSG00000220785",5751,10131
"ENSG00000116478",10262,1095
"ENSG00000175130",8192,10090
"ENSG00000225828",2957,10569
"ENSG00000160058",11089,2190
"ENSG00000160062",501,788
"ENSG00000176261",2344,598
"ENSG00000162521",10903,187
"ENSG00000162520",4224,3791
"ENSG00000162522",12070,10009
"ENSG00000134684",11297,8199
"ENSG00000116497",6350,6435
"ENSG00000121900",1311,10159
"ENSG00000116514",3753,11097
"ENSG00000004455",9956,2644
"ENSG00000116525",2852,4740
"ENSG00000160094",5142,6573
"ENSG00000134686",11227,9529
"ENSG00000187513",4055,11407
"ENSG00000163866",8197,8669
"ENSG00000241014",960,6964
"ENSG00000243749",4103,4088
"ENSG00000271741",6044,474
"ENSG00000163867",5759,2807
"ENSG00000197056",948,4555
"ENSG00000116560",11953,5249
"ENSG00000229994",3051,5959
"ENSG00000146463",7858,1197
"ENSG00000142687",10641,1871
"ENSG00000020129",8960,4662
"ENSG00000126067",9387,6009
"ENSG00000142686",4994,1815
"ENSG00000134698",4746,5560
"ENSG00000092847",9397,1280
"ENSG00000126070",5710,2226
"ENSG00000116863",6661,3361
"ENSG00000054116",9479,3402
"ENSG00000116871",10193,6201
"ENSG00000054118",11464,2530
"ENSG00000142694",2965,10198
"ENSG00000214193",1219,8689
"ENSG00000196182",6557,8439
"ENSG00000181817",2648,5963
"ENSG00000116898",7506,1406
"ENSG00000119535",1164,11116
"ENSG00000163874",3818,11998
"ENSG00000163875",6674,172
"ENSG00000163877",3128,1119
"ENSG00000163879",4050,6521
"ENSG00000134697",7002,7279
"ENSG00000116922",2531,993
"ENSG00000196449",1804,7374
"ENSG00000197982",7556,7199
"ENSG00000188786",3890,3406
"ENSG00000204084",4620,5171
"ENSG00000183431",8586,770
"ENSG00000183386",3451,9783
"ENSG00000183520",5524,2202
"ENSG00000116954",5794,3909
"ENSG00000214114",3359,4188
"ENSG00000273637",3593,2422
"ENSG00000174574",7555,6633
"ENSG00000168653",10240,8232
"ENSG00000127603",12087,5308
"ENSG00000182109",851,10000
"ENSG00000228060",1391,3077
"ENSG00000090621",11497,6776
"ENSG00000163909",7558,11769
"ENSG00000084072",5549,6378
"ENSG00000043514",2666,2147
"ENSG00000131236",11585,2856
"ENSG00000131238",10040,6605
"ENSG00000117000",3412,7945
"ENSG00000084073",8683,7271
"ENSG00000084070",5666,7367
"ENSG00000066136",7356,1228
"ENSG00000179862",2526,11239
"ENSG00000171793",7611,10176
"ENSG00000010803",8412,4229
"ENSG00000127124",1180,4975
"ENSG00000198815",8072,124
"ENSG00000127125",8250,2012
"ENSG00000236876",1032,5960
"ENSG00000171960",1624,903
"ENSG00000065978",11553,6966
"ENSG00000117385",7336,3775
"ENSG00000164008",664,1317
"ENSG00000283580",633,1286
"ENSG00000177868",503,1512
"ENSG00000164010",5764,8597
"ENSG00000164011",1259,7900
"ENSG00000117394",3824,11679
"ENSG00000117395",6986,6218
"ENSG00000066056",4838,10762
"ENSG00000066322",8822,6820
"ENSG00000159479",5817,4075
"ENSG00000178922",6802,5822
"ENSG00000198198",10800,2499
"ENSG00000142949",9027,10852
"ENSG00000066135",9690,6129
"ENSG00000236200",2693,5885
"ENSG00000126091",4016,4747
"ENSG00000117408",8660,4333
"ENSG00000132768",4744,7067
"ENSG00000117410",10653,6385
"ENSG00000117411",4674,7013
"ENSG00000196517",7212,12287
"ENSG00000178028",9581,10885
"ENSG00000117419",6851,738
"ENSG00000187147",8868,1301
"ENSG00000126106",4818,4306
"ENSG00000142937",12328,6935
"ENSG00000173846",2383,10729
"ENSG00000070785",6238,3091
"ENSG00000126107",9472,742
"ENSG00000126088",11195,3358
"ENSG00000132781",2063,1882
"ENSG00000132773",1948,819
"ENSG00000132763",10159,5400
"ENSG00000117450",11963,7310
"ENSG00000117448",8966,530
"ENSG00000132780",8630,4575
"ENSG00000159592",9824,2330
"ENSG00000159596",4665,697
"ENSG00000197429",1612,3036
"ENSG00000086015",7250,2589
"ENSG00000117461",6833,10415
"ENSG00000085998",10336,3614
"ENSG00000132128",10572,318
"ENSG00000173660",6107,2954
"ENSG00000117481",6365,3773
"ENSG00000117480",5532,8126
"ENSG00000079277",7590,5657
"ENSG00000142961",4203,4696
"ENSG00000123472",10805,4794
"ENSG00000159658",10615,4101
"ENSG00000162367",109,10501
"ENSG00000162368",9502,3771
"ENSG00000132122",4487,8239
"ENSG00000185104",6619,466
"ENSG00000123080",3707,8428
"ENSG00000123091",10287,5434
"ENSG00000085832",10808,5509
"ENSG00000117859",11126,5754
"ENSG00000266993",2032,157
"ENSG00000078618",11362,1839
"ENSG00000198841",2170,2216
"ENSG00000117862",8841,477
"ENSG00000134717",7636,946
"ENSG00000157077",6101,3441
"ENSG00000154222",7731,1052
"ENSG00000134748",5206,1908
"ENSG00000134744",8794,4748
"ENSG00000116157",628,2495
"ENSG00000162377",3078,4389
"ENSG00000228929",4156,6920
"ENSG00000162378",8206,6225
"ENSG00000121310",11706,9528
"ENSG00000116171",10607,3364
"ENSG00000174348",5033,12255
"ENSG00000236723",4054,7448
"ENSG00000157184",8300,8552
"ENSG00000162384",6530,1630
"ENSG00000162385",3038,1675
"ENSG00000157193",644,10210
"ENSG00000058804",3459,1791
