"Gene","mean","sd"
"ENSG00000159596",3251,226
"ENSG00000197429",1538.5,4524
"ENSG00000086015",6203,6017
"ENSG00000117461",8329,10739
"ENSG00000085998",10740,2673
"ENSG00000132128",10137,610
"ENSG00000173660",7411,6145
"ENSG00000117481",4085,898.5
"ENSG00000117480",10585,8583
"ENSG00000079277",4990,4052.5
"ENSG00000142961",5030,2045.5
"ENSG00000123472",8379,494.5
"ENSG00000159658",11226.5,4405.5
"ENSG00000162367",1171.5,10676
"ENSG00000162368",11260.5,3722
"ENSG00000132122",3657,5840
"ENSG00000185104",8259,675
"ENSG00000123080",1458,10146
"ENSG00000123091",10513,7028
"ENSG00000085832",8891.5,4345
"ENSG00000117859",10780,1754
"ENSG00000266993",1015.5,221
"ENSG00000078618",10913,598
"ENSG00000117862",8769,1314
"ENSG00000134717",4932,770.5
"ENSG00000157077",6490,6640
"ENSG00000154222",8719,1927
"ENSG00000134748",7956,1005
"ENSG00000134744",6137,6524
"ENSG00000116157",1609,3649
"ENSG00000162377",1995,5414.5
"ENSG00000228929",7492.5,8653
"ENSG00000162378",7442.5,6032
"ENSG00000121310",12087,9111
"ENSG00000116171",10472,2393
"ENSG00000174348",6998.5,12317
"ENSG00000236723",1069,1962
"ENSG00000157184",4502,3890
"ENSG00000162384",8229,3184
"ENSG00000162385",3989,5264
"ENSG00000157193",8372.5,12328
"ENSG00000058804",1824,3394
"ENSG00000058799",7799.5,8428
"ENSG00000081870",6359,8783.5
"ENSG00000116212",4479.5,7594.5
"ENSG00000116209",12220,3411
"ENSG00000116205",1446,6447
"ENSG00000215883",988,8109
"ENSG00000116221",6757.5,1837
"ENSG00000157216",6376,3637
"ENSG00000271723",6418,8797
"ENSG00000243725",3372.5,3452.5
"ENSG00000116133",6647,11660
"ENSG00000162402",7881,5626
"ENSG00000162407",12389,11704
"ENSG00000162409",1513,9238.5
"ENSG00000162600",3715,4108
"ENSG00000185839",4563.5,2611.5
"ENSG00000162601",4741,10089
"ENSG00000177606",11022.5,12474
"ENSG00000162599",11013,5297
"ENSG00000162604",3483,1412.5
"ENSG00000132849",9207,8514
"ENSG00000162607",4847.5,3486
"ENSG00000116641",2766,4599
"ENSG00000125703",867.5,4747
"ENSG00000088035",673,966.5
"ENSG00000203965",396.5,4041
"ENSG00000142856",795,8988
"ENSG00000079739",7801.5,7042.5
"ENSG00000158966",3550,10019
"ENSG00000162437",3933,6598
"ENSG00000162434",11076,6935.5
"ENSG00000162433",364,9575
"ENSG00000213625",11078,1847
"ENSG00000116678",289.5,12182
"ENSG00000184588",5478,12003
"ENSG00000198160",4891.5,5384
"ENSG00000116704",3848,6117
"ENSG00000142864",11868,1071
"ENSG00000116717",6038,12284.5
"ENSG00000172380",10160,7557.5
"ENSG00000116729",6477.5,9367.5
"ENSG00000066557",551,3342
"ENSG00000116754",11378,8437.5
"ENSG00000118454",2952,2371
"ENSG00000235079",459,6171
"ENSG00000132485",10044,8029
"ENSG00000172260",1616,11452.5
"ENSG00000254685",2182,4473
"ENSG00000116791",6396.5,8344
"ENSG00000162623",4446.5,815
"ENSG00000117054",6032,4344
"ENSG00000137955",8475.5,4746
"ENSG00000226415",8919,7187
"ENSG00000226084",12193,8445
"ENSG00000142892",4851,4508
"ENSG00000036549",7433,2829
"ENSG00000077254",8506,1091
"ENSG00000219201",642.5,8395
"ENSG00000180488",4835,6869
"ENSG00000162614",1481,11566
"ENSG00000162613",10482.5,5399
"ENSG00000162616",4130,11609.5
"ENSG00000137959",3421,12029.5
"ENSG00000137965",3788,10755
"ENSG00000162618",6053,9731.5
"ENSG00000117114",11073,8250
"ENSG00000137941",1194,10158
"ENSG00000142875",6805.5,6655
"ENSG00000117133",5160.5,1061
"ENSG00000174021",9172,7818
"ENSG00000122432",267,1720
"ENSG00000117151",1758,3393
"ENSG00000162642",1894,449
"ENSG00000142867",918.5,3441
"ENSG00000153904",8666,9208.5
"ENSG00000142871",11068,12510
"ENSG00000117174",3543,366
"ENSG00000122417",4988,5269.5
"ENSG00000097033",10065,679
"ENSG00000183291",11867,3526.5
"ENSG00000153936",4977,5038
"ENSG00000267561",971,9064
"ENSG00000143013",7917,4155.5
"ENSG00000065243",7324,6639
"ENSG00000137947",4468,4048
"ENSG00000137944",5828,4329
"ENSG00000213516",4942,4127
"ENSG00000117226",6599,12049
"ENSG00000117228",9054,12453
"ENSG00000234518",3244,5860.5
"ENSG00000162645",7618,12268
"ENSG00000162654",6877,12110
"ENSG00000154451",158.5,12418.5
"ENSG00000197147",1714,6230
"ENSG00000171488",1241,10954
"ENSG00000171492",6156,7677.5
"ENSG00000162664",5645.5,3812.5
"ENSG00000122482",6433.5,5326
"ENSG00000069702",6445,11038.5
"ENSG00000174842",716.5,1885
"ENSG00000122484",5092,2521
"ENSG00000067208",3367,2923
"ENSG00000122406",12499,6571
"ENSG00000154511",735,3065
"ENSG00000143033",2369,7074
"ENSG00000117500",9005.5,5670
"ENSG00000122483",287,1857
"ENSG00000223745",5642,11216
"ENSG00000117505",6914,1298
"ENSG00000137942",10357,7441
"ENSG00000137936",3521,6322.5
"ENSG00000067334",8407,3190
"ENSG00000023909",5205,10209
"ENSG00000137962",9335,10221
"ENSG00000117528",7046,3328
"ENSG00000117525",8494,12278
"ENSG00000117519",11793,9450
"ENSG00000172339",3204,3005
"ENSG00000152078",4025,10372.5
"ENSG00000271092",2304.5,1370
"ENSG00000122481",3185,2390
"ENSG00000228502",9437.5,5635
"ENSG00000137970",12409.5,7081
"ENSG00000117569",3469,9045.5
"ENSG00000228057",2510.5,4208
"ENSG00000188641",4067.5,7955.5
"ENSG00000162627",2547,2156
"ENSG00000099260",1706,10303
"ENSG00000162688",5420.5,5436
"ENSG00000117620",6762.5,6347
"ENSG00000283761",7436,2643.5
"ENSG00000156875",6665,2259
"ENSG00000122435",3017.5,5108
"ENSG00000137992",5676,4025
"ENSG00000137996",4025,907.5
"ENSG00000079335",685,5213.5
"ENSG00000162692",1571,12420
"ENSG00000162694",2659,4972
"ENSG00000162695",5399,4231.5
"ENSG00000117543",3430,1350
"ENSG00000170989",7674,10379
"ENSG00000183298",5351,8457.5
"ENSG00000226715",3371,9552
"ENSG00000185946",7165,11096
"ENSG00000240038",7953,11416
"ENSG00000198890",1955,5653
"ENSG00000224550",3846,10468
"ENSG00000134215",2454,11002
"ENSG00000085491",3770,5089.5
"ENSG00000162636",1335,10007
"ENSG00000134186",8096,5005.5
"ENSG00000116266",7255.5,1006
"ENSG00000121957",5593.5,1814
"ENSG00000121940",7807,58
"ENSG00000244716",11602.5,8877.5
"ENSG00000085433",1546.5,2826.5
"ENSG00000197780",2663.5,6143
"ENSG00000215717",9851,1836
"ENSG00000031698",11830.5,4414
"ENSG00000143126",10704,9055.5
"ENSG00000134243",11844,7309
"ENSG00000143106",8285,7082
"ENSG00000162650",3565.5,8062
"ENSG00000174151",4714,6063
"ENSG00000181754",3617,7787.5
"ENSG00000065135",8397,2991.5
"ENSG00000116337",5759,4388
"ENSG00000168765",10888,8921
"ENSG00000260246",2447,12018
"ENSG00000134184",5371,12425
"ENSG00000213366",10248.5,10932.5
"ENSG00000134202",9426,11483
"ENSG00000134201",99,11534
"ENSG00000184371",6348,11242
"ENSG00000168710",11955.5,4686
"ENSG00000258634",1251.5,3444
"ENSG00000143093",5942,503
"ENSG00000116396",1776,8389.5
"ENSG00000162775",780,4337
"ENSG00000134248",8635,6350.5
"ENSG00000224699",1581,2790.5
"ENSG00000143119",843,12403
"ENSG00000121931",1306,4564
"ENSG00000156171",6216.5,5530.5
"ENSG00000273221",1487.5,2890.5
"ENSG00000134255",5917.5,1566
"ENSG00000162777",4603,9801.5
"ENSG00000064886",1277,12309
"ENSG00000243960",1276,2826.5
"ENSG00000116455",4610.5,3958
"ENSG00000116459",10688,5454
"ENSG00000143110",653,11642
"ENSG00000116473",8766,4186
"ENSG00000197852",1721,6810
"ENSG00000064703",2778,3960
"ENSG00000143079",3005,5229
"ENSG00000134245",1222,2069
"ENSG00000007341",3188,707.5
"ENSG00000116489",9860.5,6365
"ENSG00000155363",8681.5,4982.5
"ENSG00000155366",11408.5,7518.5
"ENSG00000271810",8432,6078.5
"ENSG00000155380",231,9103.5
"ENSG00000198799",5548,8005
"ENSG00000232499",1231.5,1096
"ENSG00000081026",5311,9331.5
"ENSG00000116793",1367,692
"ENSG00000081019",3627,3938
"ENSG00000134262",4860.5,5211.5
"ENSG00000163349",9754.5,6900
"ENSG00000116774",1049,11720
"ENSG00000197323",7204,7147.5
"ENSG00000116752",4677,5301
"ENSG00000213281",4922,5045
"ENSG00000009307",12459,4628
"ENSG00000052723",4041,1303
"ENSG00000173218",3713.5,9867
"ENSG00000163399",12542.5,10073.5
"ENSG00000203865",12021.5,9838.5
"ENSG00000116815",360,2905
"ENSG00000143061",6186,11828
"ENSG00000134247",4833,7572
"ENSG00000116830",2649.5,5647
"ENSG00000198162",9267,5799
"ENSG00000183508",6510.5,10509
"ENSG00000196505",2865,1292.5
"ENSG00000065183",3651.5,3088
"ENSG00000116874",2490,3133
"ENSG00000231365",624,3638.5
"ENSG00000143067",2069,6138.5
"ENSG00000092621",6874,11969
"ENSG00000134250",11317,8888.5
"ENSG00000265808",9539,1985
"ENSG00000270231",6673,10775
"ENSG00000275131",1376,9557.5
"ENSG00000273136",3588.5,10993
